25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            63.94700                                          0.28251                                           0.20986                                           -0.14530                                          0.21214                                           0.03223                                           0.74236                                           0.02786                                           0.02335                                           -0.07343                                          -0.07690                                          -0.04632                                          0.59669                                           0.16874                                           -0.02770                                          0.51579                                           1.00772                                           0.01784                                           0.39343                                           0.34895                                           0.32961                                           0.22234                                           1.66699                                           
0.21 0.42                                         65.08468                                          0.24860                                           0.16480                                           -0.08237                                          0.15575                                           0.03254                                           0.63969                                           -0.01922                                          0.02537                                           -0.07830                                          -0.12684                                          -0.02318                                          0.66543                                           0.10324                                           -0.03206                                          0.33216                                           0.55166                                           0.02406                                           0.42559                                           0.32531                                           0.38775                                           0.17807                                           1.35313                                           
0.42 0.63                                         63.07447                                          0.24782                                           0.13911                                           -0.10147                                          0.17751                                           0.03212                                           0.66642                                           -0.03229                                          0.02314                                           -0.16121                                          -0.14467                                          0.02926                                           0.67422                                           0.16546                                           0.09321                                           0.15197                                           0.16398                                           0.01434                                           0.40894                                           0.37660                                           0.29204                                           0.18864                                           1.23548                                           
0.63 0.84                                         61.36431                                          0.26160                                           0.17598                                           -0.04560                                          0.19826                                           0.03153                                           0.90744                                           0.01573                                           0.01234                                           -0.10384                                          -0.10022                                          0.07756                                           0.72903                                           0.17306                                           -0.16016                                          -0.00101                                          -0.11473                                          0.01749                                           0.39319                                           0.40041                                           0.32112                                           0.18727                                           1.40631                                           
0.84 1.05                                         59.12040                                          0.26036                                           0.18776                                           0.07768                                           0.20087                                           0.03093                                           0.89218                                           -0.02232                                          0.01922                                           -0.13752                                          -0.13897                                          0.01875                                           0.82534                                           0.14081                                           0.03534                                           -0.12853                                          -0.29160                                          0.03197                                           0.40276                                           0.44459                                           0.39539                                           0.19877                                           1.50950                                           
1.05 1.37                                         56.84365                                          0.18987                                           0.10091                                           0.04645                                           0.23292                                           0.02995                                           0.47344                                           -0.12460                                          -0.07035                                          -0.17929                                          -0.10783                                          -0.08612                                          0.71534                                           0.13391                                           0.02664                                           -0.25659                                          -0.38596                                          0.03295                                           0.33454                                           0.44956                                           0.28815                                           0.13275                                           1.23459                                           
1.37 1.52                                         55.97561                                          0.24845                                           0.11283                                           0.00253                                           0.14822                                           0.02939                                           0.50536                                           -0.08518                                          -0.09593                                          -0.16692                                          -0.10568                                          0.00866                                           0.76575                                           0.16908                                           0.07972                                           -0.34881                                          -0.36737                                          0.01335                                           0.39119                                           0.42686                                           0.30079                                           0.16793                                           1.29559                                           
1.52 1.74                                         53.86316                                          0.20859                                           0.08264                                           -0.02661                                          0.12014                                           0.02852                                           0.40052                                           0.05043                                           -0.03126                                          -0.09686                                          -0.08936                                          0.05802                                           0.80443                                           0.14449                                           -0.06172                                          -0.39574                                          -0.27714                                          0.01774                                           0.41616                                           0.43726                                           0.31686                                           0.14448                                           1.26437                                           
1.74 1.95                                         52.09797                                          0.20427                                           0.09552                                           -0.03472                                          0.16805                                           0.02744                                           0.41595                                           0.01424                                           -0.04324                                          -0.07617                                          -0.03810                                          0.02499                                           0.76245                                           0.14037                                           0.14000                                           -0.43670                                          -0.11077                                          0.01367                                           0.38897                                           0.40793                                           0.33388                                           0.13454                                           1.22203                                           
1.95 2.18                                         49.49926                                          0.19502                                           0.09039                                           -0.05028                                          0.15853                                           0.02604                                           0.43886                                           -0.04329                                          -0.04524                                          -0.10294                                          -0.04650                                          0.03806                                           0.72073                                           0.17807                                           -0.12584                                          -0.45294                                          0.12323                                           0.03438                                           0.35946                                           0.38006                                           0.29901                                           0.13237                                           1.19010                                           
2.18 2.4                                          47.70998                                          0.19238                                           0.09122                                           0.02806                                           0.26069                                           0.02483                                           0.44597                                           0.01254                                           -0.06371                                          -0.05607                                          -0.03893                                          0.10380                                           0.75774                                           0.11637                                           0.02113                                           -0.45952                                          0.42018                                           0.02666                                           0.33432                                           0.33607                                           0.26989                                           0.12756                                           1.25961                                           
