25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         WPtReweighting                                    BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            31.44850                                          0.22452                                           0.10784                                           -0.08354                                          0.11461                                           0.01987                                           0.60281                                           0.03811                                           0.01154                                           -0.06348                                          -0.07713                                          0.07097                                           1.49351                                           0.34233                                           0.21268                                           0.29185                                           0.66245                                           0.04638                                           0.12757                                           0.36133                                           0.83075                                           0.22813                                           2.05434                                           
0.21 0.42                                         29.12462                                          0.18549                                           0.06144                                           -0.01356                                          0.07845                                           0.01871                                           0.41555                                           0.01383                                           0.02362                                           -0.10093                                          -0.09392                                          0.08431                                           1.47723                                           0.18072                                           -0.07719                                          0.33422                                           0.51912                                           0.04367                                           0.12006                                           0.36609                                           0.71462                                           0.19112                                           1.87339                                           
0.42 0.63                                         30.59441                                          0.18811                                           0.06091                                           -0.07640                                          0.09507                                           0.01969                                           0.42289                                           0.02782                                           -0.03028                                          -0.05911                                          -0.05951                                          -0.04699                                          1.58045                                           0.27872                                           0.15335                                           0.37905                                           0.48953                                           0.04675                                           0.13018                                           0.38738                                           0.87898                                           0.19159                                           2.04196                                           
0.63 0.84                                         29.82212                                          0.20430                                           0.09592                                           -0.07427                                          0.10531                                           0.01921                                           0.56321                                           -0.02076                                          0.02591                                           -0.01485                                          0.00650                                           0.08489                                           1.58885                                           0.22744                                           0.18866                                           0.35853                                           0.46505                                           0.03753                                           0.13759                                           0.37831                                           0.69076                                           0.19434                                           1.99672                                           
0.84 1.05                                         29.02458                                          0.19370                                           0.09113                                           -0.00681                                          0.10752                                           0.01885                                           0.55137                                           0.00958                                           -0.01838                                          -0.02734                                          0.03303                                           0.10477                                           1.63302                                           0.28027                                           -0.13705                                          0.30110                                           0.48194                                           0.02929                                           0.19706                                           0.36128                                           0.50546                                           0.18717                                           1.97111                                           
1.05 1.37                                         27.96116                                          0.13910                                           0.04632                                           0.04876                                           0.12270                                           0.01805                                           0.27962                                           0.06444                                           0.04965                                           -0.07705                                          -0.03457                                          0.07389                                           1.50436                                           0.21156                                           0.11614                                           0.18077                                           0.55648                                           0.01767                                           0.15271                                           0.35602                                           0.55679                                           0.13308                                           1.80530                                           
1.37 1.52                                         26.81639                                          0.18926                                           0.01207                                           0.00614                                           0.07646                                           0.01748                                           0.28073                                           0.05919                                           -0.03788                                          -0.05843                                          -0.03129                                          0.09241                                           1.46262                                           0.31540                                           -0.11196                                          0.03464                                           0.66273                                           0.03156                                           0.15954                                           0.35472                                           0.87337                                           0.18119                                           1.93458                                           
1.52 1.74                                         24.62832                                          0.14556                                           0.01976                                           -0.01673                                          0.05863                                           0.01621                                           0.21547                                           0.01488                                           0.04434                                           -0.06546                                          -0.01962                                          0.12046                                           1.54344                                           0.24469                                           -0.20014                                          -0.09628                                          0.73269                                           0.02925                                           0.16671                                           0.34395                                           0.52584                                           0.14864                                           1.88307                                           
1.74 1.95                                         26.01713                                          0.14479                                           0.02248                                           -0.03372                                          0.08817                                           0.01678                                           0.23386                                           -0.03572                                          0.05832                                           0.07521                                           0.04528                                           0.15409                                           1.74198                                           0.17283                                           0.15864                                           -0.29148                                          0.96224                                           0.03103                                           0.24397                                           0.31254                                           0.41519                                           0.14004                                           2.13333                                           
1.95 2.18                                         24.55846                                          0.13855                                           0.02565                                           -0.03287                                          0.08100                                           0.01556                                           0.27330                                           0.04297                                           0.03658                                           -0.08028                                          -0.05822                                          0.10522                                           1.64727                                           0.22289                                           0.05975                                           -0.49257                                          1.12785                                           0.01743                                           0.18304                                           0.28068                                           0.36932                                           0.12713                                           2.15729                                           
2.18 2.4                                          23.22816                                          0.13679                                           0.01838                                           0.01191                                           0.13332                                           0.01468                                           0.25338                                           -0.03699                                          -0.06286                                          -0.13461                                          -0.06051                                          0.10722                                           1.71461                                           0.33998                                           -0.12400                                          -0.71000                                          1.31651                                           0.01759                                           0.20756                                           0.26071                                           0.48852                                           0.12907                                           2.40751                                           
