25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            631.08208                                         0.85490                                           0.71529                                           -1.35679                                          1.58578                                           0.17020                                           2.95414                                           -0.04108                                          0.04253                                           0.78746                                           -0.87824                                          -0.90281                                          2.50497                                           0.12308                                           0.86631                                           3.27041                                           4.07124                                           0.25151                                           1.01989                                           1.98141                                           4.11774                                           1.01170                                           8.55294                                           
0.21 0.42                                         633.99992                                         0.76150                                           0.52577                                           -1.12442                                          1.36044                                           0.17271                                           2.42901                                           -0.02387                                          0.02289                                           0.73307                                           -0.92184                                          -1.14447                                          2.62643                                           0.24605                                           1.01216                                           2.75403                                           3.88969                                           0.23053                                           0.96220                                           2.02987                                           5.70535                                           0.89073                                           9.00893                                           
0.42 0.63                                         633.14347                                         0.73516                                           0.46312                                           -1.35400                                          1.73334                                           0.17252                                           2.32255                                           -0.04433                                          0.03463                                           0.70241                                           -0.67646                                          -1.10277                                          2.53350                                           0.26737                                           0.68452                                           2.40335                                           3.69022                                           0.21361                                           0.98525                                           2.07551                                           3.27174                                           0.87850                                           7.46988                                           
0.63 0.84                                         640.98496                                         0.80052                                           0.61767                                           -0.55511                                          1.58897                                           0.17511                                           3.16574                                           0.02085                                           -0.02716                                          0.85474                                           -0.77831                                          -1.29211                                          3.12392                                           0.21033                                           0.95287                                           2.26794                                           3.54526                                           0.15312                                           0.91103                                           2.17546                                           5.60051                                           0.96394                                           9.08728                                           
0.84 1.05                                         638.57821                                         0.82378                                           0.63567                                           0.28316                                           2.15084                                           0.26686                                           3.27955                                           0.04537                                           0.03206                                           0.91195                                           -0.81766                                          -1.06047                                          3.53045                                           0.22356                                           1.06129                                           2.28027                                           3.34795                                           0.15358                                           1.15477                                           2.27483                                           3.33003                                           0.97138                                           8.19624                                           
1.05 1.37                                         653.75052                                         0.60039                                           0.43199                                           0.56007                                           2.43703                                           0.17984                                           1.85169                                           0.02789                                           0.02399                                           1.09385                                           -0.74016                                          -1.43015                                          3.25169                                           0.21940                                           0.85154                                           2.63225                                           3.19846                                           0.17060                                           1.12132                                           2.41241                                           4.58936                                           0.70092                                           8.41765                                           
1.37 1.52                                         650.06899                                         0.82139                                           0.42869                                           -0.33215                                          3.16037                                           0.17961                                           2.05488                                           -0.01970                                          -0.03009                                          1.05802                                           -0.61380                                          -1.26419                                          3.77131                                           0.41119                                           1.12795                                           3.13146                                           2.98654                                           0.18910                                           1.30698                                           2.56473                                           3.46700                                           1.00787                                           8.56619                                           
1.52 1.74                                         659.56941                                         0.69094                                           0.37981                                           -0.25040                                          2.25959                                           0.17957                                           1.81646                                           -0.04244                                          -0.02771                                          1.05661                                           -0.64292                                          -1.38987                                          3.75946                                           0.41885                                           0.93591                                           3.75649                                           2.88071                                           0.21974                                           1.44602                                           2.62439                                           4.97241                                           0.85795                                           9.17555                                           
1.74 1.95                                         654.20689                                         0.69725                                           0.38405                                           -0.06995                                          2.16461                                           0.17672                                           1.88325                                           0.00880                                           -0.05650                                          0.93845                                           -0.56983                                          -1.41693                                          3.48338                                           0.22525                                           1.04028                                           4.57887                                           2.69091                                           0.22893                                           1.45866                                           2.69336                                           6.10828                                           0.79543                                           10.02418                                          
1.95 2.18                                         646.69410                                         0.64197                                           0.41477                                           -0.46521                                          2.60878                                           0.17063                                           2.14496                                           0.02802                                           -0.08138                                          0.88826                                           -0.52432                                          -1.39244                                          3.26432                                           0.39512                                           1.07665                                           5.59273                                           2.49825                                           0.22630                                           1.44509                                           2.71065                                           8.22482                                           0.72914                                           11.91603                                          
2.18 2.4                                          612.67712                                         0.65924                                           0.34457                                           -0.05176                                          2.46286                                           0.15779                                           2.05878                                           -0.03219                                          -0.07799                                          0.84875                                           -0.54876                                          -1.23830                                          2.56679                                           0.11254                                           0.86349                                           6.53379                                           2.21657                                           0.21126                                           1.41744                                           2.68265                                           5.23055                                           0.86495                                           10.26256                                          
