25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            35.71910                                          0.19218                                           0.13995                                           -0.08342                                          0.09797                                           0.01026                                           0.46550                                           -0.00499                                          0.00672                                           0.14318                                           -0.27274                                          -0.22899                                          0.24168                                           0.49676                                           0.38771                                           0.52817                                           0.23427                                           0.01249                                           0.15006                                           0.26702                                           0.18865                                           0.13075                                           1.15600                                           
0.21 0.42                                         36.59879                                          0.16627                                           0.09714                                           -0.02138                                          0.08665                                           0.01039                                           0.39409                                           0.02346                                           0.01843                                           0.14180                                           -0.27531                                          -0.24763                                          0.25350                                           0.49858                                           0.52783                                           0.69261                                           0.16224                                           0.01701                                           0.15125                                           0.26287                                           0.65139                                           0.13090                                           1.40076                                           
0.42 0.63                                         36.45819                                          0.15989                                           0.09082                                           -0.05889                                          0.10473                                           0.01027                                           0.36734                                           -0.00638                                          0.01115                                           0.18634                                           -0.28843                                          -0.21774                                          0.25928                                           0.58973                                           0.49036                                           0.79543                                           0.11156                                           0.00864                                           0.14777                                           0.25462                                           0.13025                                           0.13195                                           1.32096                                           
0.63 0.84                                         35.59778                                          0.17365                                           0.12744                                           -0.07851                                          0.09701                                           0.01019                                           0.46402                                           0.02077                                           0.02016                                           0.19044                                           -0.26489                                          -0.20306                                          0.29545                                           0.50617                                           0.34819                                           0.83535                                           0.08683                                           0.00730                                           0.14394                                           0.24289                                           0.33837                                           0.13742                                           1.33378                                           
0.84 1.05                                         34.67616                                          0.17415                                           0.12601                                           0.02702                                           0.12045                                           0.00964                                           0.43903                                           0.02523                                           0.02328                                           0.17173                                           -0.25443                                          -0.19984                                          0.23006                                           0.58020                                           0.41269                                           0.82775                                           0.08916                                           0.01273                                           0.14981                                           0.22550                                           0.40448                                           0.12470                                           1.36561                                           
1.05 1.37                                         35.37336                                          0.12701                                           0.07657                                           0.03111                                           0.14174                                           0.00958                                           0.21947                                           0.02129                                           0.06529                                           0.19572                                           -0.19042                                          -0.22700                                          0.21453                                           0.62368                                           0.44096                                           0.79962                                           0.13482                                           0.01041                                           0.11233                                           0.19669                                           0.27280                                           0.10454                                           1.27662                                           
1.37 1.52                                         34.13463                                          0.17412                                           0.05642                                           -0.00293                                          0.17940                                           0.00909                                           0.23593                                           0.02543                                           0.04045                                           0.20220                                           -0.18992                                          -0.21201                                          0.25263                                           0.58050                                           0.35118                                           0.67672                                           0.20186                                           0.01992                                           0.09887                                           0.18307                                           0.40392                                           0.13896                                           1.21007                                           
1.52 1.74                                         33.50938                                          0.14101                                           0.04646                                           -0.02243                                          0.12648                                           0.00841                                           0.20334                                           0.00791                                           0.05315                                           0.19428                                           -0.18923                                          -0.21225                                          0.24010                                           0.61556                                           0.33606                                           0.55425                                           0.27583                                           0.01337                                           0.08145                                           0.17551                                           0.14505                                           0.10366                                           1.08800                                           
1.74 1.95                                         31.38520                                          0.13885                                           0.04007                                           -0.00948                                          0.11912                                           0.00810                                           0.21156                                           0.01010                                           0.04356                                           0.17562                                           -0.16968                                          -0.19019                                          0.19643                                           0.54952                                           0.40142                                           0.36122                                           0.36591                                           0.01658                                           0.07865                                           0.17594                                           0.21502                                           0.09859                                           1.00893                                           
1.95 2.18                                         30.35563                                          0.13722                                           0.05526                                           -0.01941                                          0.13994                                           0.00786                                           0.23567                                           0.01014                                           0.03318                                           0.14793                                           -0.12694                                          -0.12074                                          0.08083                                           0.52018                                           0.31861                                           0.15211                                           0.48515                                           0.01107                                           0.13735                                           0.17631                                           0.65301                                           0.05556                                           1.11764                                           
2.18 2.4                                          26.88800                                          0.12864                                           0.04893                                           0.00404                                           0.12628                                           0.00609                                           0.21920                                           0.03870                                           0.13722                                           0.19769                                           -0.17818                                          -0.19405                                          0.15071                                           0.52598                                           0.31378                                           -0.08194                                          0.57159                                           0.01823                                           0.04040                                           0.18465                                           0.04618                                           0.10890                                           0.98822                                           
