25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            167.95096                                         0.44452                                           0.39493                                           -0.39175                                          0.40816                                           0.02041                                           1.49983                                           -0.03147                                          -0.01844                                          0.01512                                           0.10859                                           -0.14838                                          -0.80755                                          0.08800                                           -0.02775                                          0.10903                                           -0.58131                                          0.03293                                           0.18800                                           0.18083                                           0.45122                                           0.19272                                           2.02031                                           
0.21 0.42                                         167.19112                                         0.38226                                           0.29180                                           -0.25692                                          0.34774                                           0.02035                                           1.24688                                           -0.04626                                          0.01607                                           0.07342                                           0.04638                                           -0.10660                                          -0.80982                                          0.09617                                           -0.02648                                          0.24396                                           -0.74669                                          0.03396                                           0.20315                                           0.19260                                           0.33319                                           0.18060                                           1.83153                                           
0.42 0.63                                         167.60576                                         0.38171                                           0.27433                                           -0.30527                                          0.42638                                           0.02038                                           1.23679                                           0.01845                                           0.05235                                           0.11837                                           -0.05748                                          -0.17427                                          -0.88874                                          0.03561                                           0.13673                                           0.31809                                           -0.89346                                          0.01575                                           0.20545                                           0.18622                                           0.35860                                           0.18024                                           1.96941                                           
0.63 0.84                                         169.06646                                         0.41576                                           0.34724                                           -0.13045                                          0.40504                                           0.02061                                           1.54627                                           -0.02294                                          0.00981                                           0.07984                                           -0.01403                                          -0.22053                                          -0.79624                                          0.06438                                           0.10762                                           0.33225                                           -1.02372                                          0.03820                                           0.19628                                           0.20184                                           0.41164                                           0.18876                                           2.20063                                           
0.84 1.05                                         168.62558                                         0.42521                                           0.37118                                           0.02266                                           0.52878                                           0.02063                                           1.60080                                           -0.01577                                          -0.03492                                          0.07875                                           -0.03201                                          -0.15843                                          -0.82572                                          0.02902                                           -0.10162                                          0.28014                                           -1.11954                                          0.08359                                           0.23704                                           0.23150                                           0.29853                                           0.19800                                           2.29883                                           
1.05 1.37                                         171.83077                                         0.31248                                           0.22580                                           0.13561                                           0.62129                                           0.02117                                           0.84093                                           -0.06240                                          -0.06698                                          0.17492                                           -0.03955                                          -0.24128                                          -0.80009                                          0.04141                                           0.01786                                           0.12851                                           -1.23306                                          0.04289                                           0.24663                                           0.29965                                           0.35409                                           0.13759                                           1.93330                                           
1.37 1.52                                         172.07762                                         0.41740                                           0.25794                                           -0.04801                                          0.81710                                           0.02139                                           1.02798                                           -0.03336                                          -0.17431                                          0.11576                                           -0.03662                                          -0.31428                                          -0.82837                                          0.14701                                           0.17237                                           -0.09581                                          -1.28460                                          0.02167                                           0.21890                                           0.36351                                           0.60925                                           0.17729                                           2.21782                                           
1.52 1.74                                         175.00689                                         0.36055                                           0.19666                                           -0.05927                                          0.58480                                           0.02184                                           0.90424                                           -0.11823                                          -0.09108                                          0.17723                                           -0.07815                                          -0.29574                                          -1.00694                                          0.07711                                           -0.04775                                          -0.33443                                          -1.32468                                          0.02134                                           0.25467                                           0.41798                                           0.53854                                           0.15624                                           2.18924                                           
1.74 1.95                                         173.50830                                         0.35664                                           0.20860                                           -0.01743                                          0.56423                                           0.02250                                           1.01860                                           0.03181                                           -0.11865                                          0.09440                                           0.04379                                           -0.24720                                          -0.91939                                          0.04459                                           -0.07529                                          -0.66744                                          -1.31059                                          0.02865                                           0.25673                                           0.47600                                           0.34937                                           0.15607                                           2.22329                                           
1.95 2.18                                         174.65475                                         0.35197                                           0.22060                                           -0.10704                                          0.69186                                           0.02200                                           1.11948                                           -0.01669                                          -0.31631                                          0.07599                                           0.02973                                           -0.24220                                          -0.93973                                          0.02359                                           -0.07074                                          -1.08817                                          -1.28983                                          0.04187                                           0.27365                                           0.49205                                           0.48103                                           0.15242                                           2.50359                                           
2.18 2.4                                          173.10717                                         0.36323                                           0.22905                                           -0.01601                                          0.68255                                           0.02215                                           1.15190                                           -0.11959                                          -0.43853                                          -0.07017                                          -0.11929                                          -0.23398                                          -0.97110                                          0.05255                                           -0.03353                                          -1.57350                                          -1.22102                                          0.03640                                           0.30732                                           0.46675                                           0.63026                                           0.15882                                           2.78860                                           
