25
/                                                 Sigma                                             StatUncertainty                                   StatMCUncertainty                                 MuonTriggerSF                                     MuonRecoSF                                        MuonIsoSF                                         MuonSFStat                                        MuonResID                                         MuonResMS                                         MuonScaleK                                        MuonScaleC                                        MetScale                                          MetRes                                            JetScale                                          JetRes                                            TheoryME_smoothed                                 TheoryPS_smoothed                                 TheoryPDF                                         BosonPtRw_Sherpa14MC11                            BkgEWK                                            BkgQCDAntiIso                                     BackgroundStatisticalUncertainty                  TotalSyst                                         
0 0.21                                            132.11814                                         0.39469                                           0.33682                                           -0.30350                                          0.41069                                           0.01609                                           1.20991                                           -0.02560                                          0.01580                                           0.02418                                           -0.05563                                          -0.12481                                          -0.74099                                          0.03501                                           0.06579                                           -0.58915                                          -0.66137                                          0.03928                                           0.16848                                           0.16118                                           0.68886                                           0.18786                                           1.93995                                           
0.21 0.42                                         130.97311                                         0.33252                                           0.25981                                           -0.11626                                          0.29854                                           0.01597                                           0.97917                                           -0.02272                                          -0.01723                                          0.06693                                           -0.03189                                          -0.09878                                          -0.64339                                          0.02885                                           0.03318                                           -0.08340                                          -0.67529                                          0.02788                                           0.13494                                           0.16582                                           0.36853                                           0.15771                                           1.49374                                           
0.42 0.63                                         129.71026                                         0.33549                                           0.23914                                           -0.21930                                          0.34140                                           0.01583                                           0.95416                                           0.02590                                           0.06847                                           0.06276                                           -0.12365                                          -0.10504                                          -0.66495                                          0.03009                                           0.03026                                           0.31130                                           -0.71554                                          0.02924                                           0.14522                                           0.16773                                           0.31810                                           0.15678                                           1.54818                                           
0.63 0.84                                         128.11495                                         0.34876                                           0.28653                                           -0.03576                                          0.38396                                           0.01567                                           1.18423                                           0.03358                                           0.04243                                           0.04923                                           -0.07022                                          -0.13241                                          -0.67286                                          0.06232                                           -0.05232                                          0.59584                                           -0.77989                                          0.03500                                           0.13966                                           0.17894                                           0.26409                                           0.16923                                           1.79862                                           
0.84 1.05                                         124.68328                                         0.36653                                           0.28524                                           0.13206                                           0.38939                                           0.01531                                           1.21322                                           0.01771                                           0.04362                                           0.03138                                           -0.07307                                          -0.08868                                          -0.65485                                          0.04162                                           -0.01622                                          0.76254                                           -0.85643                                          0.04816                                           0.13092                                           0.20049                                           0.27441                                           0.16742                                           1.90990                                           
1.05 1.37                                         123.33508                                         0.27350                                           0.19435                                           0.09417                                           0.46824                                           0.01527                                           0.63406                                           -0.09884                                          -0.12572                                          0.08562                                           -0.00268                                          -0.14438                                          -0.58551                                          0.04576                                           0.05606                                           0.84397                                           -1.00584                                          0.03082                                           0.16755                                           0.24623                                           0.30512                                           0.11527                                           1.72916                                           
1.37 1.52                                         118.77102                                         0.35604                                           0.20964                                           -0.02249                                          0.29953                                           0.01488                                           0.72050                                           -0.07523                                          -0.05859                                          -0.06794                                          -0.05679                                          -0.19972                                          -0.56846                                          0.05574                                           -0.09574                                          0.76498                                           -1.13742                                          0.03926                                           0.16922                                           0.31152                                           0.28302                                           0.16399                                           1.77733                                           
1.52 1.74                                         116.01140                                         0.28687                                           0.15256                                           -0.02889                                          0.25037                                           0.01465                                           0.59064                                           -0.04829                                          -0.06559                                          0.06196                                           -0.03233                                          -0.13478                                          -0.52727                                          0.04955                                           0.06215                                           0.63016                                           -1.26230                                          0.01977                                           0.14980                                           0.35222                                           0.74818                                           0.12495                                           1.86082                                           
1.74 1.95                                         111.67537                                         0.29408                                           0.16741                                           -0.05275                                          0.35027                                           0.01423                                           0.65774                                           -0.00339                                          -0.11340                                          0.10057                                           0.03336                                           -0.19087                                          -0.55784                                          0.03014                                           -0.07420                                          0.39010                                           -1.40731                                          0.01925                                           0.15765                                           0.39074                                           0.34892                                           0.12006                                           1.84694                                           
1.95 2.18                                         105.26929                                         0.28329                                           0.16499                                           -0.09231                                          0.33503                                           0.01359                                           0.66278                                           -0.06702                                          -0.19794                                          0.07328                                           0.02137                                           -0.16472                                          -0.50664                                          0.04684                                           0.06732                                           0.06913                                           -1.53600                                          0.02830                                           0.12372                                           0.41338                                           0.29774                                           0.12005                                           1.89251                                           
2.18 2.4                                          99.60193                                          0.27597                                           0.18766                                           0.02352                                           0.53845                                           0.01566                                           0.63066                                           -0.08967                                          -0.30080                                          -0.01618                                          -0.08297                                          -0.18607                                          -0.52056                                          0.02940                                           0.13269                                           -0.31240                                          -1.67975                                          0.04232                                           0.11645                                           0.40380                                           0.25600                                           0.13533                                           2.08202                                           
